lat,lon,year,cluster
-5.924,35.53260869565217,2020,High
-5.924,35.53260869565217,1987,Medium
-5.924,35.53260869565217,1989,Medium
-5.924,35.53260869565217,1990,Medium
-5.924,35.53260869565217,1993,Medium
-5.924,35.53260869565217,1995,Medium
-5.924,35.53260869565217,1996,Medium
-5.924,35.53260869565217,1998,Medium
-5.924,35.53260869565217,2001,Medium
-5.924,35.53260869565217,2002,Medium
-5.924,35.53260869565217,2003,Medium
-5.924,35.53260869565217,2004,Medium
-5.924,35.53260869565217,2005,Medium
-5.924,35.53260869565217,2007,Medium
-5.924,35.53260869565217,2008,Medium
-5.924,35.53260869565217,2009,Medium
-5.924,35.53260869565217,2010,Medium
-5.924,35.53260869565217,2012,Medium
-5.924,35.53260869565217,2013,Medium
-5.924,35.53260869565217,2014,Medium
-5.924,35.53260869565217,2015,Medium
-5.924,35.53260869565217,2016,Medium
-5.924,35.53260869565217,2018,Medium
-5.924,35.53260869565217,2019,Medium
-5.924,35.53260869565217,1982,Low
-5.924,35.53260869565217,1983,Low
-5.924,35.53260869565217,1984,Low
-5.924,35.53260869565217,1985,Low
-5.924,35.53260869565217,1986,Low
-5.924,35.53260869565217,1988,Low
-5.924,35.53260869565217,1991,Low
-5.924,35.53260869565217,1992,Low
-5.924,35.53260869565217,1994,Low
-5.924,35.53260869565217,1997,Low
-5.924,35.53260869565217,1999,Low
-5.924,35.53260869565217,2000,Low
-5.924,35.53260869565217,2006,Low
-5.924,35.53260869565217,2011,Low
-5.924,35.53260869565217,2017,Low
